datum,uhrzeit_start,uhrzeit_ende,zaehlstelle,richtung_1,richtung_2,gesamt
01.06.2022,00:00,00:15,Arnulf,4,0,4
01.06.2022,00:15,00:30,Arnulf,1,2,3
01.06.2022,00:30,00:45,Arnulf,1,0,1
01.06.2022,00:45,01:00,Arnulf,0,1,1
01.06.2022,01:00,01:15,Arnulf,2,0,2
01.06.2022,01:15,01:30,Arnulf,1,0,1
01.06.2022,01:30,01:45,Arnulf,1,0,1
01.06.2022,01:45,02:00,Arnulf,0,0,0
01.06.2022,02:00,02:15,Arnulf,1,0,1
01.06.2022,02:15,02:30,Arnulf,0,0,0
01.06.2022,02:30,02:45,Arnulf,1,0,1
01.06.2022,02:45,03:00,Arnulf,0,0,0
01.06.2022,03:00,03:15,Arnulf,1,0,1
01.06.2022,03:15,03:30,Arnulf,2,0,2
01.06.2022,03:30,03:45,Arnulf,1,0,1
01.06.2022,03:45,04:00,Arnulf,0,0,0
01.06.2022,04:00,04:15,Arnulf,0,0,0
01.06.2022,04:15,04:30,Arnulf,0,2,2
01.06.2022,04:30,04:45,Arnulf,0,0,0
01.06.2022,04:45,05:00,Arnulf,3,1,4
01.06.2022,05:00,05:15,Arnulf,1,0,1
01.06.2022,05:15,05:30,Arnulf,5,0,5
01.06.2022,05:30,05:45,Arnulf,5,2,7
01.06.2022,05:45,06:00,Arnulf,4,0,4
01.06.2022,06:00,06:15,Arnulf,6,0,6
01.06.2022,06:15,06:30,Arnulf,14,0,14
01.06.2022,06:30,06:45,Arnulf,12,0,12
01.06.2022,06:45,07:00,Arnulf,18,0,18
01.06.2022,07:00,07:15,Arnulf,21,1,22
01.06.2022,07:15,07:30,Arnulf,34,1,35
01.06.2022,07:30,07:45,Arnulf,37,0,37
01.06.2022,07:45,08:00,Arnulf,67,2,69
01.06.2022,08:00,08:15,Arnulf,69,1,70
01.06.2022,08:15,08:30,Arnulf,61,2,63
01.06.2022,08:30,08:45,Arnulf,58,2,60
01.06.2022,08:45,09:00,Arnulf,53,2,55
01.06.2022,09:00,09:15,Arnulf,36,2,38
01.06.2022,09:15,09:30,Arnulf,46,0,46
01.06.2022,09:30,09:45,Arnulf,34,2,36
01.06.2022,09:45,10:00,Arnulf,21,0,21
01.06.2022,10:00,10:15,Arnulf,22,1,23
01.06.2022,10:15,10:30,Arnulf,28,0,28
