datum,uhrzeit_start,uhrzeit_ende,zaehlstelle,richtung_1,richtung_2,gesamt,min-temp,max-temp,niederschlag,bewoelkung,sonnenstunden
2022.07.01,00:00,23.59,Arnulf,1025,65,1090,11.5,18.9,3.1,76,1.8
2022.07.02,00:00,23.59,Arnulf,1498,74,1572,10.3,24.6,0,0,15.7
2022.07.03,00:00,23.59,Arnulf,1302,59,1361,14.4,30.8,0.4,25,15.2
2022.07.04,00:00,23.59,Arnulf,1400,99,1499,17.2,27.2,12.5,93,5.8
2022.07.05,00:00,23.59,Arnulf,2196,90,2286,16.2,26.6,0,45,11.3
2022.07.06,00:00,23.59,Arnulf,2324,103,2427,15,25.5,0,41,13.7
2022.07.07,00:00,23.59,Arnulf,1380,86,1466,14.1,19.3,4.3,99,0.3
2022.07.08,00:00,23.59,Arnulf,1596,89,1685,12.3,19.5,0,56,9.4
2022.07.09,00:00,23.59,Arnulf,1385,52,1437,12.8,24.2,0.7,93,5.1
2022.07.10,00:00,23.59,Arnulf,1119,74,1193,11.9,20.6,0,56,9
2022.07.11,00:00,23.59,Arnulf,1891,79,1970,12.4,22,0,95,4.3
2022.07.12,00:00,23.59,Arnulf,2184,86,2270,13,25.2,0,63,12.4
2022.07.13,00:00,23.59,Arnulf,2130,104,2234,14.5,30.9,0,61,11.8
2022.07.14,00:00,23.59,Arnulf,2280,113,2393,19.9,33.8,0.3,75,12.7
2022.07.15,00:00,23.59,Arnulf,1976,99,2075,16.7,26.3,0,53,12.1
2022.07.16,00:00,23.59,Arnulf,1502,50,1552,15.1,26.5,0,18,15
2022.07.17,00:00,23.59,Arnulf,1222,72,1294,12.5,28,0,11,15.1
2022.07.18,00:00,23.59,Arnulf,2050,105,2155,13.6,30.8,0,50,14.7
2022.07.19,00:00,23.59,Arnulf,2217,92,2309,15.3,33.3,0,0,15
2022.07.20,00:00,23.59,Arnulf,2131,87,2218,16.6,36.8,0.8,58,12
2022.07.21,00:00,23.59,Arnulf,1947,105,2052,19.1,24.6,0.7,69,2.8
2022.07.22,00:00,23.59,Arnulf,1960,103,2063,15.9,32,3.3,24,14.3
2022.07.23,00:00,23.59,Arnulf,1208,72,1280,17.6,26.6,0.1,94,3.6
2022.07.24,00:00,23.59,Arnulf,1331,83,1414,17.9,30.9,0,31,12.8
2022.07.25,00:00,23.59,Arnulf,1943,83,2026,17.9,35.5,22.5,24,14
2022.07.26,00:00,23.59,Arnulf,1580,65,1645,17.4,23.9,2.7,90,2.5
2022.07.27,00:00,23.59,Arnulf,2247,109,2356,16.1,25.3,0,75,6.4
2022.07.28,00:00,23.59,Arnulf,2190,77,2267,15,27.8,0,35,13.3
2022.07.29,00:00,23.59,Arnulf,1564,78,1642,16.5,27.7,3.2,90,6.7
2022.07.30,00:00,23.59,Arnulf,1356,61,1417,16.4,25.7,0.4,68,8.6
2022.07.31,00:00,23.59,Arnulf,1368,72,1440,16.3,28.1,0,81,7.1
2022.07.01,00:00,23.59,Kreuther,353,279,632,11.5,18.9,3.1,76,1.8
2022.07.02,00:00,23.59,Kreuther,416,338,754,10.3,24.6,0,0,15.7
2022.07.03,00:00,23.59,Kreuther,355,329,684,14.4,30.8,0.4,25,15.2
2022.07.04,00:00,23.59,Kreuther,511,364,875,17.2,27.2,12.5,93,5.8
2022.07.05,00:00,23.59,Kreuther,751,547,1298,16.2,26.6,0,45,11.3
2022.07.06,00:00,23.59,Kreuther,803,640,1443,15,25.5,0,41,13.7
2022.07.07,00:00,23.59,Kreuther,486,356,842,14.1,19.3,4.3,99,0.3
2022.07.08,00:00,23.59,Kreuther,587,470,1057,12.3,19.5,0,56,9.4
2022.07.09,00:00,23.59,Kreuther,404,336,740,12.8,24.2,0.7,93,5.1
2022.07.10,00:00,23.59,Kreuther,340,308,648,11.9,20.6,0,56,9
2022.07.11,00:00,23.59,Kreuther,631,476,1107,12.4,22,0,95,4.3
2022.07.12,00:00,23.59,Kreuther,751,630,1381,13,25.2,0,63,12.4
2022.07.13,00:00,23.59,Kreuther,793,613,1406,14.5,30.9,0,61,11.8
2022.07.14,00:00,23.59,Kreuther,717,541,1258,19.9,33.8,0.3,75,12.7
2022.07.15,00:00,23.59,Kreuther,680,526,1206,16.7,26.3,0,53,12.1
2022.07.16,00:00,23.59,Kreuther,438,350,788,15.1,26.5,0,18,15
2022.07.17,00:00,23.59,Kreuther,379,330,709,12.5,28,0,11,15.1
2022.07.18,00:00,23.59,Kreuther,736,540,1276,13.6,30.8,0,50,14.7
2022.07.19,00:00,23.59,Kreuther,744,623,1367,15.3,33.3,0,0,15
2022.07.20,00:00,23.59,Kreuther,757,551,1308,16.6,36.8,0.8,58,12
2022.07.21,00:00,23.59,Kreuther,654,510,1164,19.1,24.6,0.7,69,2.8
2022.07.22,00:00,23.59,Kreuther,655,507,1162,15.9,32,3.3,24,14.3
2022.07.23,00:00,23.59,Kreuther,313,259,572,17.6,26.6,0.1,94,3.6
2022.07.24,00:00,23.59,Kreuther,379,341,720,17.9,30.9,0,31,12.8
2022.07.25,00:00,23.59,Kreuther,699,512,1211,17.9,35.5,22.5,24,14
2022.07.26,00:00,23.59,Kreuther,546,432,978,17.4,23.9,2.7,90,2.5
2022.07.27,00:00,23.59,Kreuther,787,594,1381,16.1,25.3,0,75,6.4
2022.07.28,00:00,23.59,Kreuther,776,633,1409,15,27.8,0,35,13.3
2022.07.29,00:00,23.59,Kreuther,560,500,1060,16.5,27.7,3.2,90,6.7
2022.07.30,00:00,23.59,Kreuther,341,339,680,16.4,25.7,0.4,68,8.6
2022.07.31,00:00,23.59,Kreuther,379,282,661,16.3,28.1,0,81,7.1
2022.07.01,00:00,23.59,Olympia,0,0,0,11.5,18.9,3.1,76,1.8
2022.07.02,00:00,23.59,Olympia,0,0,0,10.3,24.6,0,0,15.7
2022.07.03,00:00,23.59,Olympia,0,0,0,14.4,30.8,0.4,25,15.2
2022.07.04,00:00,23.59,Olympia,0,0,0,17.2,27.2,12.5,93,5.8
2022.07.05,00:00,23.59,Olympia,0,0,0,16.2,26.6,0,45,11.3
2022.07.06,00:00,23.59,Olympia,0,0,0,15,25.5,0,41,13.7
2022.07.07,00:00,23.59,Olympia,0,0,0,14.1,19.3,4.3,99,0.3
2022.07.08,00:00,23.59,Olympia,0,0,0,12.3,19.5,0,56,9.4
2022.07.09,00:00,23.59,Olympia,0,0,0,12.8,24.2,0.7,93,5.1
2022.07.10,00:00,23.59,Olympia,0,0,0,11.9,20.6,0,56,9
2022.07.11,00:00,23.59,Olympia,0,0,0,12.4,22,0,95,4.3
2022.07.12,00:00,23.59,Olympia,0,0,0,13,25.2,0,63,12.4
2022.07.13,00:00,23.59,Olympia,0,0,0,14.5,30.9,0,61,11.8
2022.07.14,00:00,23.59,Olympia,0,0,0,19.9,33.8,0.3,75,12.7
2022.07.15,00:00,23.59,Olympia,0,0,0,16.7,26.3,0,53,12.1
2022.07.16,00:00,23.59,Olympia,0,0,0,15.1,26.5,0,18,15
2022.07.17,00:00,23.59,Olympia,0,0,0,12.5,28,0,11,15.1
2022.07.18,00:00,23.59,Olympia,0,0,0,13.6,30.8,0,50,14.7
2022.07.19,00:00,23.59,Olympia,0,0,0,15.3,33.3,0,0,15
2022.07.20,00:00,23.59,Olympia,0,0,0,16.6,36.8,0.8,58,12
2022.07.21,00:00,23.59,Olympia,0,0,0,19.1,24.6,0.7,69,2.8
2022.07.22,00:00,23.59,Olympia,0,0,0,15.9,32,3.3,24,14.3
2022.07.23,00:00,23.59,Olympia,0,0,0,17.6,26.6,0.1,94,3.6
2022.07.24,00:00,23.59,Olympia,0,0,0,17.9,30.9,0,31,12.8
2022.07.25,00:00,23.59,Olympia,0,0,0,17.9,35.5,22.5,24,14
2022.07.26,00:00,23.59,Olympia,0,0,0,17.4,23.9,2.7,90,2.5
2022.07.27,00:00,23.59,Olympia,0,0,0,16.1,25.3,0,75,6.4
2022.07.28,00:00,23.59,Olympia,0,0,0,15,27.8,0,35,13.3
2022.07.29,00:00,23.59,Olympia,0,0,0,16.5,27.7,3.2,90,6.7
2022.07.30,00:00,23.59,Olympia,0,0,0,16.4,25.7,0.4,68,8.6
2022.07.31,00:00,23.59,Olympia,0,0,0,16.3,28.1,0,81,7.1
2022.07.01,00:00,23.59,Hirsch,571,620,1191,11.5,18.9,3.1,76,1.8
2022.07.02,00:00,23.59,Hirsch,697,698,1395,10.3,24.6,0,0,15.7
2022.07.03,00:00,23.59,Hirsch,666,594,1260,14.4,30.8,0.4,25,15.2
2022.07.04,00:00,23.59,Hirsch,893,931,1824,17.2,27.2,12.5,93,5.8
2022.07.05,00:00,23.59,Hirsch,1533,1592,3125,16.2,26.6,0,45,11.3
2022.07.06,00:00,23.59,Hirsch,1548,1585,3133,15,25.5,0,41,13.7
2022.07.07,00:00,23.59,Hirsch,866,894,1760,14.1,19.3,4.3,99,0.3
2022.07.08,00:00,23.59,Hirsch,1010,1016,2026,12.3,19.5,0,56,9.4
2022.07.09,00:00,23.59,Hirsch,623,622,1245,12.8,24.2,0.7,93,5.1
2022.07.10,00:00,23.59,Hirsch,584,585,1169,11.9,20.6,0,56,9
2022.07.11,00:00,23.59,Hirsch,1314,1388,2702,12.4,22,0,95,4.3
2022.07.12,00:00,23.59,Hirsch,1475,1535,3010,13,25.2,0,63,12.4
2022.07.13,00:00,23.59,Hirsch,1489,1569,3058,14.5,30.9,0,61,11.8
2022.07.14,00:00,23.59,Hirsch,1359,1422,2781,19.9,33.8,0.3,75,12.7
2022.07.15,00:00,23.59,Hirsch,1140,1141,2281,16.7,26.3,0,53,12.1
2022.07.16,00:00,23.59,Hirsch,690,652,1342,15.1,26.5,0,18,15
2022.07.17,00:00,23.59,Hirsch,675,641,1316,12.5,28,0,11,15.1
2022.07.18,00:00,23.59,Hirsch,1400,1501,2901,13.6,30.8,0,50,14.7
2022.07.19,00:00,23.59,Hirsch,1449,1464,2913,15.3,33.3,0,0,15
2022.07.20,00:00,23.59,Hirsch,1325,1354,2679,16.6,36.8,0.8,58,12
2022.07.21,00:00,23.59,Hirsch,1163,1204,2367,19.1,24.6,0.7,69,2.8
2022.07.22,00:00,23.59,Hirsch,1078,1190,2268,15.9,32,3.3,24,14.3
2022.07.23,00:00,23.59,Hirsch,526,593,1119,17.6,26.6,0.1,94,3.6
2022.07.24,00:00,23.59,Hirsch,676,615,1291,17.9,30.9,0,31,12.8
