datum,uhrzeit_start,uhrzeit_ende,zaehlstelle,richtung_1,richtung_2,gesamt,min-temp,max-temp,niederschlag,bewoelkung,sonnenstunden
2022.04.01,00:00,23.59,Arnulf,645,0,645,0.2,6.3,10,94,0
2022.04.02,00:00,23.59,Arnulf,291,0,291,-1.5,0.3,7.4,94,0
2022.04.03,00:00,23.59,Arnulf,351,0,351,-1.7,2.3,0.1,89,2.7
2022.04.04,00:00,23.59,Arnulf,1110,0,1110,-3.1,7.4,0.9,40,11.2
2022.04.05,00:00,23.59,Arnulf,790,0,790,2.9,9.6,2.6,96,0
2022.04.06,00:00,23.59,Arnulf,1410,0,1410,7.5,17.1,0,81,7.4
2022.04.07,00:00,23.59,Arnulf,1195,0,1195,8.5,15.6,6.7,88,5.6
2022.04.08,00:00,23.59,Arnulf,728,0,728,6.1,15,6.4,91,0.6
2022.04.09,00:00,23.59,Arnulf,685,0,685,1.2,13.2,0,83,6.2
2022.04.10,00:00,23.59,Arnulf,518,0,518,1.7,8.3,0.1,85,5.3
2022.04.11,00:00,23.59,Arnulf,1273,0,1273,0.2,14.7,0,80,12
2022.04.12,00:00,23.59,Arnulf,1556,32,1588,2.9,19.7,0,96,11.6
2022.04.13,00:00,23.59,Arnulf,1577,64,1641,5.1,21.3,0,90,11.6
2022.04.14,00:00,23.59,Arnulf,1546,89,1635,8.5,22.7,3.9,75,12.6
2022.04.15,00:00,23.59,Arnulf,785,52,837,8.1,19.2,0,76,6.4
2022.04.16,00:00,23.59,Arnulf,712,43,755,3.1,11.2,0,50,4.1
2022.04.17,00:00,23.59,Arnulf,555,32,587,0.4,11.8,0,35,13.4
2022.04.18,00:00,23.59,Arnulf,760,33,793,0.7,14.2,0,63,13.5
2022.04.19,00:00,23.59,Arnulf,1205,68,1273,3.7,15.3,0,78,6
2022.04.20,00:00,23.59,Arnulf,1443,46,1489,1.3,13.6,0,6,13.5
2022.04.21,00:00,23.59,Arnulf,1514,60,1574,3.2,16,0,23,11.1
2022.04.22,00:00,23.59,Arnulf,1363,78,1441,4.6,16.1,0,83,9.4
2022.04.23,00:00,23.59,Arnulf,883,54,937,6.6,14.4,0.1,94,1.5
2022.04.24,00:00,23.59,Arnulf,557,53,610,7.7,13,3.9,99,1.1
2022.04.25,00:00,23.59,Arnulf,1143,52,1195,7.8,16.1,2.4,83,3.8
2022.04.26,00:00,23.59,Arnulf,1001,54,1055,5.6,11.6,9.3,90,1.4
2022.04.27,00:00,23.59,Arnulf,1577,72,1649,5,14.1,0,60,6.1
2022.04.28,00:00,23.59,Arnulf,1822,66,1888,3.5,17.1,0,5,12.9
2022.04.29,00:00,23.59,Arnulf,1743,80,1823,3.4,18.8,0,64,11.1
2022.04.30,00:00,23.59,Arnulf,827,43,870,6.8,13.2,0.3,99,1.3
2022.04.01,00:00,23.59,Kreuther,225,181,406,0.2,6.3,10,94,0
2022.04.02,00:00,23.59,Kreuther,71,59,130,-1.5,0.3,7.4,94,0
2022.04.03,00:00,23.59,Kreuther,73,54,127,-1.7,2.3,0.1,89,2.7
2022.04.04,00:00,23.59,Kreuther,380,312,692,-3.1,7.4,0.9,40,11.2
2022.04.05,00:00,23.59,Kreuther,309,218,527,2.9,9.6,2.6,96,0
2022.04.06,00:00,23.59,Kreuther,543,444,987,7.5,17.1,0,81,7.4
2022.04.07,00:00,23.59,Kreuther,419,336,755,8.5,15.6,6.7,88,5.6
2022.04.08,00:00,23.59,Kreuther,279,217,496,6.1,15,6.4,91,0.6
2022.04.09,00:00,23.59,Kreuther,187,161,348,1.2,13.2,0,83,6.2
2022.04.10,00:00,23.59,Kreuther,118,105,223,1.7,8.3,0.1,85,5.3
2022.04.11,00:00,23.59,Kreuther,417,319,736,0.2,14.7,0,80,12
2022.04.12,00:00,23.59,Kreuther,515,422,937,2.9,19.7,0,96,11.6
2022.04.13,00:00,23.59,Kreuther,545,436,981,5.1,21.3,0,90,11.6
2022.04.14,00:00,23.59,Kreuther,528,440,968,8.5,22.7,3.9,75,12.6
2022.04.15,00:00,23.59,Kreuther,201,212,413,8.1,19.2,0,76,6.4
2022.04.16,00:00,23.59,Kreuther,169,164,333,3.1,11.2,0,50,4.1
2022.04.17,00:00,23.59,Kreuther,209,192,401,0.4,11.8,0,35,13.4
2022.04.18,00:00,23.59,Kreuther,196,263,459,0.7,14.2,0,63,13.5
2022.04.19,00:00,23.59,Kreuther,397,304,701,3.7,15.3,0,78,6
2022.04.20,00:00,23.59,Kreuther,435,371,806,1.3,13.6,0,6,13.5
2022.04.21,00:00,23.59,Kreuther,477,391,868,3.2,16,0,23,11.1
2022.04.22,00:00,23.59,Kreuther,410,341,751,4.6,16.1,0,83,9.4
2022.04.23,00:00,23.59,Kreuther,316,232,548,6.6,14.4,0.1,94,1.5
2022.04.24,00:00,23.59,Kreuther,155,133,288,7.7,13,3.9,99,1.1
2022.04.25,00:00,23.59,Kreuther,451,365,816,7.8,16.1,2.4,83,3.8
2022.04.26,00:00,23.59,Kreuther,384,296,680,5.6,11.6,9.3,90,1.4
2022.04.27,00:00,23.59,Kreuther,491,405,896,5,14.1,0,60,6.1
2022.04.28,00:00,23.59,Kreuther,664,499,1163,3.5,17.1,0,5,12.9
2022.04.29,00:00,23.59,Kreuther,664,517,1181,3.4,18.8,0,64,11.1
2022.04.30,00:00,23.59,Kreuther,215,196,411,6.8,13.2,0.3,99,1.3
2022.04.01,00:00,23.59,Olympia,379,381,760,0.2,6.3,10,94,0
2022.04.02,00:00,23.59,Olympia,229,203,432,-1.5,0.3,7.4,94,0
2022.04.03,00:00,23.59,Olympia,353,318,671,-1.7,2.3,0.1,89,2.7
2022.04.04,00:00,23.59,Olympia,694,717,1411,-3.1,7.4,0.9,40,11.2
2022.04.05,00:00,23.59,Olympia,527,546,1073,2.9,9.6,2.6,96,0
2022.04.06,00:00,23.59,Olympia,1067,1105,2172,7.5,17.1,0,81,7.4
