datum,uhrzeit_start,uhrzeit_ende,zaehlstelle,richtung_1,richtung_2,gesamt
2022.09.01,22:00:00,22:15:00,Arnulf,12,1,13
2022.09.01,22:15:00,22:30:00,Arnulf,17,3,20
2022.09.01,22:30:00,22:45:00,Arnulf,11,1,12
2022.09.01,22:45:00,23:00:00,Arnulf,14,1,15
2022.09.01,23:00:00,23:15:00,Arnulf,8,2,10
2022.09.01,23:15:00,23:30:00,Arnulf,7,2,9
2022.09.01,23:30:00,23:45:00,Arnulf,10,1,11
2022.09.01,23:45:00,00:00:00,Arnulf,5,1,6
2022.09.02,00:00:00,00:15:00,Arnulf,0,0,0
2022.09.02,00:15:00,00:30:00,Arnulf,2,0,2
2022.09.02,00:30:00,00:45:00,Arnulf,1,1,2
2022.09.02,00:45:00,01:00:00,Arnulf,2,1,3
2022.09.02,01:00:00,01:15:00,Arnulf,1,1,2
2022.09.02,01:15:00,01:30:00,Arnulf,6,0,6
2022.09.02,01:30:00,01:45:00,Arnulf,1,0,1
2022.09.02,01:45:00,02:00:00,Arnulf,0,0,0
2022.09.02,02:00:00,02:15:00,Arnulf,0,0,0
2022.09.02,02:15:00,02:30:00,Arnulf,0,0,0
2022.09.02,02:30:00,02:45:00,Arnulf,0,0,0
2022.09.02,02:45:00,03:00:00,Arnulf,2,0,2
2022.09.02,03:00:00,03:15:00,Arnulf,0,0,0
2022.09.02,03:15:00,03:30:00,Arnulf,1,0,1
2022.09.02,03:30:00,03:45:00,Arnulf,1,0,1
2022.09.02,03:45:00,04:00:00,Arnulf,0,0,0
2022.09.02,04:00:00,04:15:00,Arnulf,2,0,2
2022.09.02,04:15:00,04:30:00,Arnulf,0,0,0
2022.09.02,04:30:00,04:45:00,Arnulf,1,2,3
2022.09.02,04:45:00,05:00:00,Arnulf,2,1,3
2022.09.02,05:00:00,05:15:00,Arnulf,1,0,1
2022.09.02,05:15:00,05:30:00,Arnulf,1,0,1
2022.09.02,05:30:00,05:45:00,Arnulf,3,0,3
2022.09.02,05:45:00,06:00:00,Arnulf,1,0,1
2022.09.02,06:00:00,06:15:00,Arnulf,7,0,7
2022.09.02,06:15:00,06:30:00,Arnulf,8,1,9
2022.09.02,06:30:00,06:45:00,Arnulf,6,0,6
2022.09.02,06:45:00,07:00:00,Arnulf,6,0,6
2022.09.02,07:00:00,07:15:00,Arnulf,13,1,14
2022.09.02,07:15:00,07:30:00,Arnulf,11,0,11
2022.09.02,07:30:00,07:45:00,Arnulf,25,1,26
2022.09.02,07:45:00,08:00:00,Arnulf,42,1,43
2022.09.02,08:00:00,08:15:00,Arnulf,33,3,36
2022.09.02,08:15:00,08:30:00,Arnulf,33,0,33
2022.09.02,08:30:00,08:45:00,Arnulf,48,0,48
2022.09.02,08:45:00,09:00:00,Arnulf,45,1,46
2022.09.02,09:00:00,09:15:00,Arnulf,24,0,24
2022.09.02,09:15:00,09:30:00,Arnulf,27,0,27
2022.09.02,09:30:00,09:45:00,Arnulf,23,1,24
2022.09.02,09:45:00,10:00:00,Arnulf,21,2,23
2022.09.02,10:00:00,10:15:00,Arnulf,13,0,13
2022.09.02,10:15:00,10:30:00,Arnulf,19,0,19
2022.09.02,10:30:00,10:45:00,Arnulf,17,1,18
2022.09.02,10:45:00,11:00:00,Arnulf,16,0,16
2022.09.02,11:00:00,11:15:00,Arnulf,13,0,13
2022.09.02,11:15:00,11:30:00,Arnulf,17,0,17
2022.09.02,11:30:00,11:45:00,Arnulf,22,1,23
2022.09.02,11:45:00,12:00:00,Arnulf,22,0,22
2022.09.02,12:00:00,12:15:00,Arnulf,20,2,22
2022.09.02,12:15:00,12:30:00,Arnulf,22,0,22
2022.09.02,12:30:00,12:45:00,Arnulf,25,1,26
2022.09.02,12:45:00,13:00:00,Arnulf,24,2,26
2022.09.02,13:00:00,13:15:00,Arnulf,22,1,23
2022.09.02,13:15:00,13:30:00,Arnulf,27,6,33
2022.09.02,13:30:00,13:45:00,Arnulf,25,1,26
2022.09.02,13:45:00,14:00:00,Arnulf,27,2,29
2022.09.02,14:00:00,14:15:00,Arnulf,19,1,20
2022.09.02,14:15:00,14:30:00,Arnulf,16,3,19
2022.09.02,14:30:00,14:45:00,Arnulf,28,0,28
2022.09.02,14:45:00,15:00:00,Arnulf,18,3,21
2022.09.02,15:00:00,15:15:00,Arnulf,23,1,24
2022.09.02,15:15:00,15:30:00,Arnulf,29,1,30
2022.09.02,15:30:00,15:45:00,Arnulf,44,0,44
2022.09.02,15:45:00,16:00:00,Arnulf,18,2,20
2022.09.02,16:00:00,16:15:00,Arnulf,45,1,46
2022.09.02,16:15:00,16:30:00,Arnulf,27,0,27
2022.09.02,16:30:00,16:45:00,Arnulf,39,1,40
2022.09.02,16:45:00,17:00:00,Arnulf,40,2,42
2022.09.02,17:00:00,17:15:00,Arnulf,30,1,31
2022.09.02,17:15:00,17:30:00,Arnulf,38,2,40
2022.09.02,17:30:00,17:45:00,Arnulf,41,1,42
2022.09.02,17:45:00,18:00:00,Arnulf,48,2,50
2022.09.02,18:00:00,18:15:00,Arnulf,47,3,50
2022.09.02,18:15:00,18:30:00,Arnulf,35,0,35
2022.09.02,18:30:00,18:45:00,Arnulf,41,1,42
2022.09.02,18:45:00,19:00:00,Arnulf,30,1,31
2022.09.02,19:00:00,19:15:00,Arnulf,30,2,32
2022.09.02,19:15:00,19:30:00,Arnulf,24,1,25
2022.09.02,19:30:00,19:45:00,Arnulf,35,0,35
2022.09.02,19:45:00,20:00:00,Arnulf,27,1,28
2022.09.02,20:00:00,20:15:00,Arnulf,23,2,25
2022.09.02,20:15:00,20:30:00,Arnulf,14,0,14
2022.09.02,20:30:00,20:45:00,Arnulf,12,3,15
2022.09.02,20:45:00,21:00:00,Arnulf,15,0,15
2022.09.02,21:00:00,21:15:00,Arnulf,17,5,22
2022.09.02,21:15:00,21:30:00,Arnulf,16,0,16
2022.09.02,21:30:00,21:45:00,Arnulf,15,1,16
2022.09.02,21:45:00,22:00:00,Arnulf,15,0,15
2022.09.02,22:00:00,22:15:00,Arnulf,13,1,14
2022.09.02,22:15:00,22:30:00,Arnulf,12,0,12
2022.09.02,22:30:00,22:45:00,Arnulf,8,1,9
2022.09.02,22:45:00,23:00:00,Arnulf,8,2,10
2022.09.02,23:00:00,23:15:00,Arnulf,8,0,8
2022.09.02,23:15:00,23:30:00,Arnulf,11,1,12
2022.09.02,23:30:00,23:45:00,Arnulf,3,0,3
2022.09.02,23:45:00,00:00:00,Arnulf,4,1,5
2022.09.03,00:00:00,00:15:00,Arnulf,2,1,3
2022.09.03,00:15:00,00:30:00,Arnulf,4,0,4
2022.09.03,00:30:00,00:45:00,Arnulf,13,0,13
2022.09.03,00:45:00,01:00:00,Arnulf,2,1,3
2022.09.03,01:00:00,01:15:00,Arnulf,3,0,3
2022.09.03,01:15:00,01:30:00,Arnulf,0,1,1
2022.09.03,01:30:00,01:45:00,Arnulf,3,2,5
2022.09.03,01:45:00,02:00:00,Arnulf,3,3,6
2022.09.03,02:00:00,02:15:00,Arnulf,3,0,3
2022.09.03,02:15:00,02:30:00,Arnulf,5,1,6
2022.09.03,02:30:00,02:45:00,Arnulf,3,0,3
2022.09.03,02:45:00,03:00:00,Arnulf,1,0,1
2022.09.03,03:00:00,03:15:00,Arnulf,3,0,3
2022.09.03,03:15:00,03:30:00,Arnulf,1,1,2
2022.09.03,03:30:00,03:45:00,Arnulf,1,1,2
2022.09.03,03:45:00,04:00:00,Arnulf,1,1,2
2022.09.03,04:00:00,04:15:00,Arnulf,3,0,3
2022.09.03,04:15:00,04:30:00,Arnulf,0,0,0
2022.09.03,04:30:00,04:45:00,Arnulf,4,1,5
2022.09.03,04:45:00,05:00:00,Arnulf,1,1,2
2022.09.03,05:00:00,05:15:00,Arnulf,3,0,3
2022.09.03,05:15:00,05:30:00,Arnulf,4,0,4
2022.09.03,05:30:00,05:45:00,Arnulf,0,0,0
2022.09.03,05:45:00,06:00:00,Arnulf,1,0,1
2022.09.03,06:00:00,06:15:00,Arnulf,7,0,7
2022.09.03,06:15:00,06:30:00,Arnulf,3,0,3
2022.09.03,06:30:00,06:45:00,Arnulf,3,1,4
2022.09.03,06:45:00,07:00:00,Arnulf,1,0,1
2022.09.03,07:00:00,07:15:00,Arnulf,8,0,8
2022.09.03,07:15:00,07:30:00,Arnulf,6,0,6
2022.09.03,07:30:00,07:45:00,Arnulf,5,0,5
2022.09.03,07:45:00,08:00:00,Arnulf,5,1,6
2022.09.03,08:00:00,08:15:00,Arnulf,7,0,7
2022.09.03,08:15:00,08:30:00,Arnulf,4,0,4
2022.09.03,08:30:00,08:45:00,Arnulf,11,0,11
2022.09.03,08:45:00,09:00:00,Arnulf,10,0,10
2022.09.03,09:00:00,09:15:00,Arnulf,15,0,15
2022.09.03,09:15:00,09:30:00,Arnulf,13,0,13
2022.09.03,09:30:00,09:45:00,Arnulf,18,1,19
2022.09.03,09:45:00,10:00:00,Arnulf,12,0,12
2022.09.03,10:00:00,10:15:00,Arnulf,21,1,22
2022.09.03,10:15:00,10:30:00,Arnulf,12,0,12
2022.09.03,10:30:00,10:45:00,Arnulf,12,1,13
2022.09.03,10:45:00,11:00:00,Arnulf,9,0,9
2022.09.03,11:00:00,11:15:00,Arnulf,18,1,19
2022.09.03,11:15:00,11:30:00,Arnulf,18,0,18
2022.09.03,11:30:00,11:45:00,Arnulf,19,1,20
2022.09.03,11:45:00,12:00:00,Arnulf,23,0,23
2022.09.03,12:00:00,12:15:00,Arnulf,16,0,16
2022.09.03,12:15:00,12:30:00,Arnulf,26,1,27
2022.09.03,12:30:00,12:45:00,Arnulf,19,0,19
2022.09.03,12:45:00,13:00:00,Arnulf,19,0,19
2022.09.03,13:00:00,13:15:00,Arnulf,14,0,14
2022.09.03,13:15:00,13:30:00,Arnulf,17,4,21
2022.09.03,13:30:00,13:45:00,Arnulf,18,0,18
2022.09.03,13:45:00,14:00:00,Arnulf,19,0,19
2022.09.03,14:00:00,14:15:00,Arnulf,16,1,17
2022.09.03,14:15:00,14:30:00,Arnulf,33,0,33
2022.09.03,14:30:00,14:45:00,Arnulf,29,1,30
2022.09.03,14:45:00,15:00:00,Arnulf,19,4,23
2022.09.03,15:00:00,15:15:00,Arnulf,23,0,23
2022.09.03,15:15:00,15:30:00,Arnulf,31,0,31
2022.09.03,15:30:00,15:45:00,Arnulf,13,1,14
2022.09.03,15:45:00,16:00:00,Arnulf,11,1,12
